route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed
862,3529A4969,602408A3529B4969,,Newark,0,,9,0
860,3894A5283,572538A3894B5283,,World Trade Center,1,,10,0
859,3528A4969,158372A3528B4969,,Hoboken,0,,7,0
1024,3906A5293,159758A3906B5293,,Journal Square via Hoboken,0,,4,0
1024,3907A5310,159516A3907B5310,,Journal Square via Hoboken,0,,4,0
862,3528A4969,159135A3528B4969,,World Trade Center,1,,8,0
860,3893A5283,572633A3893B5283,,Hoboken,0,,3,0
1024,3906A5293,159627A3906B5293,,33rd via Hoboken,1,,2,0
1024,3906A5292,159740A3906B5292,,Journal Square via Hoboken,0,,4,0
1024,3906A5293,159768A3906B5293,,Journal Square via Hoboken,0,,4,0
1024,3907A5293,159390A3907B5293,,33rd via Hoboken,1,,2,0
859,3528A4969,158272A3528B4969,,33rd Street,1,,11,0
1024,3907A5293,159532A3907B5293,,Journal Square via Hoboken,0,,4,0
4768,3894A5283,572917A3894B5283,,Hoboken,1,,12,0
1024,3906A5292,159725A3906B5292,,Journal Square via Hoboken,0,,4,0
862,3529A4969,602397A3529B4969,,Newark,0,,9,0
862,3528A4969,159220A3528B4969,,World Trade Center,1,,8,0
860,3528A4969,158739A3528B4969,,Hoboken,0,,3,0
860,3894A5283,572707A3894B5283,,Hoboken,0,,3,0
859,3528A4969,158383A3528B4969,,Hoboken,0,,7,0
1024,3906A5310,159755A3906B5310,,Journal Square via Hoboken,0,,4,0
1024,3907A5293,159477A3907B5293,,Journal Square via Hoboken,0,,4,0
861,3528A4969,160251A3528B4969,,Journal Square,0,,6,0
1024,3907A5310,159409A3907B5310,,33rd via Hoboken,1,,2,0
862,3530A4969,602516A3530B4969,,Newark,0,,9,0
1024,3906A5293,159763A3906B5293,,Journal Square via Hoboken,0,,4,0
1024,3906A5293,159699A3906B5293,,Journal Square via Hoboken,0,,4,0
1024,3906A5292,159589A3906B5292,,33rd via Hoboken,1,,2,0
1024,3906A5292,159587A3906B5292,,33rd via Hoboken,1,,2,0
860,3528A4969,158611A3528B4969,,World Trade Center,1,,10,0
862,3528A4969,159066A3528B4969,,Newark,0,,9,0
860,3894A5283,572729A3894B5283,,Hoboken,0,,3,0
860,3528A4969,158549A3528B4969,,World Trade Center,1,,10,0
1024,3907A5310,159505A3907B5310,,Journal Square via Hoboken,0,,4,0
861,3528A4969,160199A3528B4969,,Journal Square,0,,6,0
862,3528A4969,159274A3528B4969,,World Trade Center,1,,8,0
861,3528A4969,160088A3528B4969,,33rd Street,1,,5,0
1024,3906A5293,159578A3906B5293,,33rd via Hoboken,1,,2,0
1024,3906A5292,159622A3906B5292,,33rd via Hoboken,1,,2,0
860,3528A4969,158610A3528B4969,,World Trade Center,1,,10,0
859,3528A4969,158417A3528B4969,,Hoboken,0,,7,0
1024,3907A5292,159538A3907B5292,,Journal Square via Hoboken,0,,4,0
1024,3907A5292,159412A3907B5292,,33rd via Hoboken,1,,2,0
1024,3907A5293,159507A3907B5293,,Journal Square via Hoboken,0,,4,0
1024,3907A5293,159536A3907B5293,,Journal Square via Hoboken,0,,4,0
860,3528A4969,158572A3528B4969,,World Trade Center,1,,10,0
4768,3894A5283,573081A3894B5283,,Journal Square,0,,1,0
862,3528A4969,159202A3528B4969,,World Trade Center,1,,8,0
1024,3907A5293,159485A3907B5293,,Journal Square via Hoboken,0,,4,0
4768,3894A5283,573118A3894B5283,,Journal Square,0,,1,0
